                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.3847,                0.94296,                 1.9902,                0.81867,                0.73542,                0.82871,                0.44603,                 1.5167,                0.89266,                 2.1638,               0.001604,               0.001604,               0.001604
                     63,                 1.3808,                0.94447,                 1.9697,                 0.8146,                0.72823,                0.82085,                0.44813,                 1.4889,                0.89273,                 2.1435,              0.0015974,              0.0015974,              0.0015974
                     64,                 1.3739,                 0.9294,                 1.9743,                0.81609,                 0.7491,                0.83362,                0.44644,                 1.5282,                0.90458,                 2.1823,              0.0015908,              0.0015908,              0.0015908
                     65,                 1.3838,                0.94416,                 1.9684,                0.80616,                0.73781,                0.82414,                0.44642,                 1.5167,                0.90464,                 2.1484,              0.0015842,              0.0015842,              0.0015842
                     66,                 1.3889,                0.94329,                 1.9697,                0.79564,                0.73788,                 0.8273,                 0.4373,                 1.5518,                 0.8988,                 2.2146,              0.0015776,              0.0015776,              0.0015776
                     67,                   1.38,                0.93673,                 1.9625,                0.80975,                0.73681,                0.82513,                0.44959,                 1.5032,                0.88975,                 2.1692,               0.001571,               0.001571,               0.001571
                     68,                 1.3637,                0.93324,                 1.9497,                0.79866,                0.73052,                0.82658,                 0.4459,                 1.5064,                0.89555,                 2.1571,              0.0015644,              0.0015644,              0.0015644
                     69,                 1.3674,                0.93612,                 1.9585,                0.81291,                0.73086,                0.82161,                0.44191,                  1.515,                0.88433,                  2.153,              0.0015578,              0.0015578,              0.0015578
                     70,                 1.3524,                0.92483,                 1.9552,                0.78845,                0.74279,                 0.8231,                0.44103,                 1.5423,                0.88853,                  2.166,              0.0015512,              0.0015512,              0.0015512
                     71,                 1.3548,                0.92327,                 1.9418,                0.80352,                0.73308,                 0.8284,                0.44883,                 1.5145,                0.89025,                 2.1457,              0.0015446,              0.0015446,              0.0015446
                     72,                  1.379,                0.93116,                 1.9551,                0.80865,                0.72683,                0.82263,                0.44572,                 1.5103,                0.89684,                 2.1404,               0.001538,               0.001538,               0.001538
                     73,                 1.3532,                0.92617,                 1.9692,                0.81335,                0.73542,                0.82767,                 0.4517,                 1.4995,                0.88694,                 2.1991,              0.0015314,              0.0015314,              0.0015314
                     74,                 1.3463,                0.91383,                 1.9421,                0.80354,                 0.7434,                0.83051,                0.44983,                 1.5008,                0.87899,                 2.1673,              0.0015248,              0.0015248,              0.0015248
                     75,                 1.3594,                0.91479,                 1.9309,                0.79553,                0.75713,                0.82679,                0.44727,                 1.4955,                0.89286,                 2.1339,              0.0015182,              0.0015182,              0.0015182
                     76,                  1.354,                0.91891,                 1.9334,                0.80106,                0.74217,                0.82862,                0.44962,                 1.4963,                0.87875,                 2.1467,              0.0015116,              0.0015116,              0.0015116
                     77,                 1.3453,                0.92761,                 1.9162,                0.81516,                0.74177,                0.83601,                0.45919,                  1.486,                0.85942,                 2.1347,               0.001505,               0.001505,               0.001505
                     78,                 1.3501,                0.91738,                 1.9163,                0.79817,                 0.7477,                0.83052,                0.45846,                 1.4897,                0.87015,                 2.1216,              0.0014984,              0.0014984,              0.0014984
                     79,                 1.3413,                0.91713,                 1.9431,                0.81648,                0.73469,                0.83215,                0.45166,                 1.4927,                0.88161,                 2.1562,              0.0014918,              0.0014918,              0.0014918
                     80,                 1.3644,                0.92282,                  1.941,                0.81736,                0.73481,                0.82906,                0.45374,                 1.4907,                0.85765,                 2.1416,              0.0014852,              0.0014852,              0.0014852
